usage_date_key,report_name,page_name,user_role,view_count,unique_users_count,avg_load_time_ms,last_view_date_key
20240403,Executive Overview,Details,SalesOps,36,9,1202,20240403
20250716,Sales Pipeline,Cohorts,Finance,37,13,2222,20250716
20250201,Sales Pipeline,Agent Performance,Analyst,46,8,2395,20250201
20250325,Sales Pipeline,Maps,RegionalManager,43,19,2282,20250325
20230220,Service & Warranty,Overview,FieldAgent,37,6,2254,20230220
20231023,Executive Overview,Aging,Executive,29,11,2152,20231023
20250209,PAYG Collections,Regional,RegionalManager,40,17,1954,20250209
20230302,Asset Performance,Overview,FieldAgent,26,9,2264,20230302
20241116,Service & Warranty,Aging,Analyst,38,10,1295,20241116
20251130,Executive Overview,Overview,Analyst,48,20,1191,20251130
20231113,Sales Pipeline,Maps,Executive,43,11,1804,20231113
20250912,Sales Pipeline,Aging,Analyst,36,16,1996,20250912
20230420,Service & Warranty,Details,Analyst,31,5,1438,20230420
20240323,PAYG Collections,Aging,ServiceOps,32,5,1587,20240323
20250218,Service & Warranty,Cohorts,ServiceOps,43,12,1862,20250218
20240530,PAYG Collections,Regional,Executive,32,8,1339,20240530
20230524,Installations Ops,Regional,Analyst,46,18,2620,20230524
20241014,Executive Overview,Maps,Finance,29,8,1764,20241014
20230401,Executive Overview,Agent Performance,Executive,25,5,1695,20230401
20230318,Asset Performance,Aging,ServiceOps,33,9,2304,20230318
20250605,Sales Pipeline,Cohorts,SalesOps,26,4,969,20250605
20241127,Service & Warranty,Agent Performance,ServiceOps,36,8,1438,20241127
20240725,Installations Ops,Aging,FieldAgent,38,13,1594,20240725
20241209,Service & Warranty,Maps,Executive,34,10,1843,20241209
20231112,Asset Performance,Cohorts,FieldAgent,29,5,2238,20231112
20250712,Installations Ops,Cohorts,ServiceOps,32,7,2055,20250712
20231228,Executive Overview,Maps,ServiceOps,38,15,2033,20231228
20251120,Service & Warranty,Maps,SalesOps,32,12,1646,20251120
20240806,PAYG Collections,Regional,FieldAgent,21,7,1351,20240806
20241004,Sales Pipeline,Cohorts,FieldAgent,26,12,1724,20241004
20241202,Sales Pipeline,Maps,ServiceOps,32,10,2492,20241202
20250313,Sales Pipeline,Details,FieldAgent,32,6,1286,20250313
20240203,PAYG Collections,Maps,Finance,45,16,1009,20240203
20241004,Installations Ops,Cohorts,SalesOps,27,7,1188,20241004
20231016,Asset Performance,Details,Finance,29,6,1582,20231016
20231129,Service & Warranty,Agent Performance,ServiceOps,40,9,1888,20231129
20230822,Asset Performance,Regional,Executive,28,11,2232,20230822
20240221,Sales Pipeline,Maps,ServiceOps,27,10,1131,20240221
20240226,Installations Ops,Aging,RegionalManager,32,9,2598,20240226
20250603,Asset Performance,Aging,FieldAgent,30,7,994,20250603
20240118,Asset Performance,Agent Performance,ServiceOps,40,9,1132,20240118
20240719,PAYG Collections,Regional,FieldAgent,32,12,1968,20240719
20250528,Executive Overview,Aging,Finance,33,10,2526,20250528
20250917,Executive Overview,Maps,SalesOps,35,13,2335,20250917
20241119,Installations Ops,Regional,Executive,33,5,1993,20241119
20241218,Installations Ops,Overview,Analyst,38,11,2407,20241218
20230809,Service & Warranty,Details,ServiceOps,36,6,1738,20230809
20250731,Service & Warranty,Details,RegionalManager,38,16,1686,20250731
20251009,Sales Pipeline,Aging,ServiceOps,41,18,2849,20251009
20230314,Sales Pipeline,Maps,SalesOps,41,9,1858,20230314
20240722,Executive Overview,Details,FieldAgent,44,16,2235,20240722
20230204,PAYG Collections,Details,ServiceOps,37,10,2419,20230204
20230817,Asset Performance,Details,Analyst,42,10,1218,20230817
20240426,Sales Pipeline,Agent Performance,ServiceOps,41,17,1890,20240426
20240203,Executive Overview,Overview,Analyst,37,9,1166,20240203
20241109,Sales Pipeline,Cohorts,Executive,42,17,1958,20241109
20230806,Installations Ops,Overview,ServiceOps,45,12,1999,20230806
20250106,Asset Performance,Regional,RegionalManager,36,15,1355,20250106
20250210,Asset Performance,Details,Analyst,31,8,2381,20250210
20231111,Asset Performance,Aging,RegionalManager,39,13,1354,20231111
20230603,Executive Overview,Agent Performance,Finance,31,11,2436,20230603
20240204,Service & Warranty,Overview,ServiceOps,39,16,1907,20240204
20241111,Sales Pipeline,Cohorts,ServiceOps,28,11,2089,20241111
20240626,Service & Warranty,Agent Performance,SalesOps,44,15,920,20240626
20240429,Installations Ops,Regional,SalesOps,33,12,1614,20240429
20250712,Sales Pipeline,Maps,FieldAgent,33,5,2457,20250712
20250129,Service & Warranty,Overview,FieldAgent,27,7,2277,20250129
20240925,PAYG Collections,Maps,SalesOps,44,17,2445,20240925
20250505,Sales Pipeline,Details,RegionalManager,33,7,1251,20250505
20230810,PAYG Collections,Aging,Executive,30,11,2359,20230810
20240407,Installations Ops,Agent Performance,ServiceOps,33,14,1285,20240407
20250414,Sales Pipeline,Overview,Executive,42,16,1673,20250414
20240722,Asset Performance,Overview,Finance,35,9,1983,20240722
20241003,Service & Warranty,Aging,ServiceOps,23,6,1865,20241003
20230116,Installations Ops,Details,ServiceOps,30,11,2000,20230116
20230122,Installations Ops,Aging,ServiceOps,33,9,1118,20230122
20230216,Service & Warranty,Overview,RegionalManager,37,10,2370,20230216
20250823,Executive Overview,Cohorts,FieldAgent,24,4,1670,20250823
20241021,Installations Ops,Overview,Finance,44,8,2141,20241021
20230429,Installations Ops,Cohorts,Finance,38,17,1961,20230429
20230831,Sales Pipeline,Cohorts,Analyst,43,11,1767,20230831
20230704,Asset Performance,Regional,RegionalManager,39,10,1426,20230704
20241001,Installations Ops,Maps,Finance,53,20,1089,20241001
20240516,Service & Warranty,Regional,ServiceOps,35,6,1959,20240516
20240502,Service & Warranty,Cohorts,SalesOps,34,8,1271,20240502
20250126,Installations Ops,Aging,ServiceOps,35,15,2091,20250126
20241101,Asset Performance,Maps,Executive,37,6,1901,20241101
20240529,Installations Ops,Cohorts,Analyst,31,7,1932,20240529
20230113,Asset Performance,Overview,SalesOps,26,5,1515,20230113
20230216,Sales Pipeline,Cohorts,RegionalManager,53,10,1406,20230216
20230713,Installations Ops,Overview,Analyst,37,11,2251,20230713
20250224,Asset Performance,Aging,RegionalManager,27,8,1815,20250224
20250514,Asset Performance,Maps,Executive,41,13,1703,20250514
20240406,Installations Ops,Regional,FieldAgent,32,6,1438,20240406
20230207,Installations Ops,Cohorts,Executive,35,8,1378,20230207
20250721,Asset Performance,Details,Finance,45,15,2828,20250721
20241108,Sales Pipeline,Maps,FieldAgent,39,13,1389,20241108
20240721,Sales Pipeline,Details,Executive,23,4,2268,20240721
20250316,Executive Overview,Details,Finance,34,6,1635,20250316
20230623,Asset Performance,Regional,ServiceOps,45,7,1972,20230623
20241005,PAYG Collections,Overview,Analyst,49,18,1665,20241005
20230329,Executive Overview,Overview,RegionalManager,34,8,2370,20230329
20240709,Asset Performance,Cohorts,SalesOps,40,8,1602,20240709
20240924,Asset Performance,Overview,RegionalManager,35,8,1351,20240924
20250616,Asset Performance,Details,Analyst,35,6,2264,20250616
20230815,Executive Overview,Aging,SalesOps,45,9,1555,20230815
20240527,PAYG Collections,Details,RegionalManager,32,7,1842,20240527
20230528,Service & Warranty,Details,SalesOps,41,12,1502,20230528
20250825,PAYG Collections,Aging,Executive,43,17,2083,20250825
20250531,PAYG Collections,Agent Performance,FieldAgent,24,6,1681,20250531
20231114,Service & Warranty,Aging,RegionalManager,24,8,2622,20231114
20230828,Asset Performance,Details,ServiceOps,40,11,1366,20230828
20230113,Sales Pipeline,Maps,Finance,26,11,1740,20230113
20240613,Installations Ops,Agent Performance,Finance,34,15,1961,20240613
20230218,PAYG Collections,Details,SalesOps,33,9,1542,20230218
20230228,Sales Pipeline,Cohorts,SalesOps,32,7,881,20230228
20240412,Installations Ops,Maps,SalesOps,39,14,1737,20240412
20240302,PAYG Collections,Overview,Executive,28,6,2541,20240302
20240121,PAYG Collections,Aging,FieldAgent,44,18,1331,20240121
20250811,Sales Pipeline,Aging,Executive,29,11,944,20250811
20240516,Installations Ops,Overview,FieldAgent,32,8,1456,20240516
20240424,Installations Ops,Regional,ServiceOps,41,10,1299,20240424
20240819,Sales Pipeline,Aging,FieldAgent,33,11,1076,20240819
20250517,Asset Performance,Cohorts,RegionalManager,31,6,1636,20250517
20250827,Asset Performance,Regional,Executive,38,13,1326,20250827
20250102,Executive Overview,Cohorts,Executive,30,10,2352,20250102
20250720,Sales Pipeline,Aging,Analyst,40,11,1316,20250720
20240202,Asset Performance,Details,Finance,37,14,1482,20240202
20230712,Service & Warranty,Overview,ServiceOps,31,5,1661,20230712
20230218,Executive Overview,Details,FieldAgent,33,6,1034,20230218
20250914,Service & Warranty,Agent Performance,Executive,42,16,1991,20250914
20240412,Installations Ops,Regional,Executive,40,14,1526,20240412
20251229,Service & Warranty,Cohorts,Executive,34,13,1823,20251229
20250212,PAYG Collections,Regional,Executive,37,17,999,20250212
20230701,Service & Warranty,Agent Performance,RegionalManager,34,8,1228,20230701
20250620,Service & Warranty,Aging,RegionalManager,29,12,2249,20250620
20241108,Service & Warranty,Aging,RegionalManager,44,15,1311,20241108
20240929,Sales Pipeline,Details,Analyst,35,6,1859,20240929
20250911,Executive Overview,Regional,ServiceOps,31,5,1677,20250911
20230422,Sales Pipeline,Aging,ServiceOps,36,8,1306,20230422
20250830,Installations Ops,Aging,Analyst,36,7,2109,20250830
20230627,Sales Pipeline,Regional,Executive,30,13,2375,20230627
20240317,PAYG Collections,Regional,SalesOps,34,7,1610,20240317
20240309,Executive Overview,Maps,Executive,52,21,2066,20240309
20251021,Sales Pipeline,Cohorts,ServiceOps,29,10,1971,20251021
20231220,Asset Performance,Maps,Executive,34,14,1381,20231220
20241101,Asset Performance,Aging,Executive,47,13,1105,20241101
20240419,Installations Ops,Details,Finance,29,8,2517,20240419
20230805,PAYG Collections,Maps,RegionalManager,30,6,2105,20230805
