ticket_id,ticket_open_date_key,ticket_close_date_key,customer_sk,product_sk,asset_sk,service_category_id,geo_id,ticket_status,sla_target_days,actual_resolution_days,sla_met_flag,repeat_issue_flag,warranty_claim_flag
TCK_00000001,20231024,,558928,2006,,1,1278,open,2,,,False,False
TCK_00000002,20240325,20240413.0,507741,2017,906545.0,5,1036,closed,2,19.0,0.0,False,False
TCK_00000003,20241125,20241207.0,517960,2004,925312.0,6,1513,closed,7,12.0,0.0,False,True
TCK_00000004,20230208,20230211.0,519923,2010,939019.0,7,1140,closed,3,3.0,1.0,True,False
TCK_00000005,20250316,,509921,2008,,3,1047,open,5,,,False,True
TCK_00000006,20240821,20240906.0,547960,2020,,4,1259,closed,5,16.0,0.0,False,False
TCK_00000007,20230819,,547405,2023,939805.0,7,1125,open,2,,,False,False
TCK_00000008,20251103,20251122.0,520721,2020,911468.0,5,1165,closed,2,19.0,0.0,False,False
TCK_00000009,20230201,20230208.0,510402,2015,947628.0,3,1050,closed,5,7.0,0.0,False,False
TCK_00000010,20240523,,502026,2002,904769.0,4,1453,escalated,5,,,False,False
TCK_00000011,20240731,20240811.0,513012,2004,909642.0,1,1374,closed,7,11.0,0.0,False,False
TCK_00000012,20230508,20230509.0,558242,2017,,2,1113,closed,7,1.0,1.0,False,False
TCK_00000013,20250806,20250806.0,554959,2013,919320.0,6,1365,closed,3,0.0,1.0,False,True
TCK_00000014,20241016,20241023.0,507334,2019,931100.0,1,1185,closed,2,7.0,0.0,False,False
TCK_00000015,20240324,20240325.0,513066,2020,915295.0,6,1233,closed,5,1.0,1.0,False,False
TCK_00000016,20250119,,529828,2020,946912.0,2,1417,open,2,,,True,True
TCK_00000017,20240416,20240506.0,504495,2020,,4,1399,closed,1,20.0,0.0,True,True
TCK_00000018,20230102,20230104.0,556612,2024,928793.0,3,1135,closed,5,2.0,1.0,False,False
TCK_00000019,20250326,20250331.0,506501,2024,907873.0,6,1156,closed,2,5.0,0.0,False,True
TCK_00000020,20230125,20230207.0,541427,2015,944405.0,5,1457,closed,3,13.0,0.0,True,False
TCK_00000021,20230528,20230603.0,500426,2007,933905.0,5,1039,closed,2,6.0,0.0,False,False
